method,batch_size,median_ms_per_frame,median_ms_per_batch,p95_ms_per_batch,fps_by_median,input_throughput_GBps
baseline,1,0.34945,0.34945,1.2662267000000003,2861.6397195593077,63.29489197310059
cpu_float,1,1.1478069999999998,1.1478069999999998,1.834741900000001,871.226608654591,19.27013862086571
cpu_fixed,1,1.0629285,1.0629285,1.55772055,940.7970526709935,20.808925529798103
cuda,1,4.847497000000001,4.847497000000001,7.273675800000001,206.29203071193234,4.562849652098804
cuda_resize_only,1,0.08632000163197517,0.08632000163197517,1.1124991536140447,11584.800522403766,256.2372518747355
baseline,2,0.83606525,1.6721305,4.358384000000004,1196.078894559964,26.455351421435108
cpu_float,2,0.81990925,1.6398185,2.1817410000000006,1219.6471743671632,26.976644061522663
cpu_fixed,2,0.5802095,1.160419,1.5888077,1723.5153853909665,38.12140270023155
cuda,2,3.91979475,7.8395895,11.148314250000002,255.11539858049966,5.642744431962924
cuda_resize_only,2,0.11771199852228165,0.2354239970445633,1.1789823651313789,8495.3106952025,187.90268008076697
baseline,4,0.7649925,3.05997,6.8035491,1307.2023581930544,28.91322463945725
cpu_float,4,0.6618569999999999,2.6474279999999997,3.4987489000000003,1510.9003908699312,33.41869920541749
cpu_fixed,4,0.453974875,1.8158995,2.58769435,2202.765075930689,48.721639055465346
cuda,4,3.890648625,15.5625945,19.6612184,257.0265517102563,5.685016081348133
cuda_resize_only,4,0.09339999780058861,0.37359999120235443,0.8145616143941883,10706.638367754844,236.81371007334872
baseline,8,0.7674654375000001,6.1397235000000006,19.773907400000013,1302.9902730961744,28.820060056450423
cpu_float,8,0.6658969375,5.3271755,6.388074050000001,1501.7338925665204,33.21595092934332
cpu_fixed,8,0.381192125,3.049537,3.8900549,2623.349052659469,58.0242836863432
cuda,8,4.5152826875,36.1222615,55.358582000000006,221.47007600839166,4.89856372918401
cuda_resize_only,8,0.09879399836063385,0.7903519868850708,2.3191887736320496,10122.07235858233,223.88404525606742
baseline,16,0.71397703125,11.4236325,51.78019590000001,1400.6052803256757,30.979147832355427
cpu_float,16,0.62548534375,10.0077655,12.240781949999999,1598.7584840991728,35.36197965469914
cpu_fixed,16,0.36823353125,5.8917365,7.263861949999999,2715.667952903189,60.066230049493896
cuda,16,3.91003734375,62.5605975,73.2125592,255.7520330588275,5.65682576800837
cuda_resize_only,16,0.08383199945092201,1.3413119912147522,1.6227200210094452,11928.619221177381,263.8419713816898
baseline,32,0.787052109375,25.1856675,119.81121440000007,1270.5639030611358,28.102840633467427
cpu_float,32,0.63355821875,20.273863,25.071928800000002,1578.3869112659982,34.91139305814585
cpu_fixed,32,0.35636460937500003,11.403667500000001,12.879501000000001,2806.114787194558,62.066769309084115
cuda,32,4.0366078125,129.17145,138.5992005,247.7327613803205,5.479452309314481
cuda_resize_only,32,0.07478299736976624,2.3930559158325195,3.4350415945053103,13372.023523682492,295.7677651062188
baseline,48,0.8043277708333333,38.607732999999996,81.63581335000003,1243.2742424943729,27.49923700518754
cpu_float,48,0.5468226979166667,26.2474895,33.1714023,1828.7463263867576,40.448942745552856
cpu_fixed,48,0.31809490625,15.2685555,18.235158000000002,3143.715854456566,69.53396475521211
cuda,48,3.9756659791666666,190.831967,201.87935270000003,251.53018519166653,5.563445248143357
cuda_resize_only,48,0.07349433253208795,3.5277279615402217,4.584693026542665,13606.491351743287,300.95381831439875
baseline,64,0.8738594375,55.927004,117.99970945000001,1144.348801519924,25.31116453153829
cpu_float,64,0.531569296875,34.020435,40.910312000000005,1881.2222712613757,41.60962668466761
cpu_fixed,64,0.3041969375,19.468604,22.582503799999998,3287.3440745931243,72.71079117948057
cuda,64,4.2061213281250005,269.19176500000003,299.73162064999997,237.74872905194553,5.258621488662552
cuda_resize_only,64,0.07240749895572662,4.634079933166504,6.495657753944397,13810.724226387758,305.471122728935
