method,batch_size,median_ms_per_frame,median_ms_per_batch,p95_ms_per_batch,fps_by_median,input_throughput_GBps
baseline,1,0.34945,0.34945,1.2662267000000003,2861.6397195593077,63.29489197310059
cpu_float,1,1.1478069999999998,1.1478069999999998,1.834741900000001,871.226608654591,19.27013862086571
cpu_fixed,1,0.595379,0.595379,0.7267195500000001,1679.6024045188024,37.15011782410868
cuda,1,2.0779224999999997,2.0779224999999997,3.7821010999999998,481.24990224611366,10.64447783784044
cuda_resize_only,1,0.08632000163197517,0.08632000163197517,1.1124991536140447,11584.800522403766,256.2372518747355
baseline,2,0.83606525,1.6721305,4.358384000000004,1196.078894559964,26.455351421435108
cpu_float,2,0.81990925,1.6398185,2.1817410000000006,1219.6471743671632,26.976644061522663
cpu_fixed,2,0.40560275,0.8112055,0.9487169500000001,2465.4665186564935,54.53217464625178
cuda,2,2.0763505,4.152701,7.7248848,481.6142553966683,10.652536746565668
cuda_resize_only,2,0.11771199852228165,0.2354239970445633,1.1789823651313789,8495.3106952025,187.90268008076697
baseline,4,0.7649925,3.05997,6.8035491,1307.2023581930544,28.91322463945725
cpu_float,4,0.6618569999999999,2.6474279999999997,3.4987489000000003,1510.9003908699312,33.41869920541749
cpu_fixed,4,0.3085275,1.23411,1.4636701,3241.2021618818417,71.69020589736732
cuda,4,2.0214160000000003,8.085664000000001,15.28501595,494.70272323955083,10.942032713701682
cuda_resize_only,4,0.09339999780058861,0.37359999120235443,0.8145616143941883,10706.638367754844,236.81371007334872
baseline,8,0.7674654375000001,6.1397235000000006,19.773907400000013,1302.9902730961744,28.820060056450423
cpu_float,8,0.6658969375,5.3271755,6.388074050000001,1501.7338925665204,33.21595092934332
cpu_fixed,8,0.30832075000000003,2.4665660000000003,2.8814788,3243.3756080315707,71.73827904868548
cuda,8,1.9718778750000001,15.775023000000001,30.611142050000062,507.1307978441616,11.216921839036303
cuda_resize_only,8,0.09879399836063385,0.7903519868850708,2.3191887736320496,10122.07235858233,223.88404525606742
baseline,16,0.71397703125,11.4236325,51.78019590000001,1400.6052803256757,30.979147832355427
cpu_float,16,0.62548534375,10.0077655,12.240781949999999,1598.7584840991728,35.36197965469914
cpu_fixed,16,0.28583840625,4.5734145,5.267295600000001,3498.4801836789557,77.38078409468461
cuda,16,1.93350209375,30.9360335,59.30460815,517.1962333180173,11.439553167021234
cuda_resize_only,16,0.08383199945092201,1.3413119912147522,1.6227200210094452,11928.619221177381,263.8419713816898
baseline,32,0.787052109375,25.1856675,119.81121440000007,1270.5639030611358,28.102840633467427
cpu_float,32,0.63355821875,20.273863,25.071928800000002,1578.3869112659982,34.91139305814585
cpu_fixed,32,0.348515453125,11.1524945,12.0938616,2869.31322853376,63.46461771400112
cuda,32,1.926758125,61.65626,62.169296,519.0065047734001,11.479593475179973
cuda_resize_only,32,0.07478299736976624,2.3930559158325195,3.4350415945053103,13372.023523682492,295.7677651062188
baseline,48,0.8043277708333333,38.607732999999996,81.63581335000003,1243.2742424943729,27.49923700518754
cpu_float,48,0.5468226979166667,26.2474895,33.1714023,1828.7463263867576,40.448942745552856
cpu_fixed,48,0.3061010416666667,14.69285,15.67868,3266.895122457522,72.25849307656445
cuda,48,1.9240088541666667,92.352425,93.02802435,519.7481278916066,11.495996991957712
cuda_resize_only,48,0.07349433253208795,3.5277279615402217,4.584693026542665,13606.491351743287,300.95381831439875
baseline,64,0.8738594375,55.927004,117.99970945000001,1144.348801519924,25.31116453153829
cpu_float,64,0.531569296875,34.020435,40.910312000000005,1881.2222712613757,41.60962668466761
cpu_fixed,64,0.30153866406249996,19.298474499999998,21.0721138,3316.32430324998,73.35178746900436
cuda,64,1.9266852578125,123.3078565,124.19385,519.0261335862245,11.480027633113549
cuda_resize_only,64,0.07240749895572662,4.634079933166504,6.495657753944397,13810.724226387758,305.471122728935
